id	affixes	text	ja_norm_ud2.bpe_13230.txt	ja_norm_ud2.bpe_26460.txt	ja_norm_ud2.bpe_52920.txt	ja_ud2.bpe_13230.txt	ja_ud2.bpe_26460.txt	ja_ud2.bpe_52920.txt
766	-には	絵の左下には「明兆筆」の署名がある。	▁ 絵 の左 下 には 「 明 兆 筆 」 の 署名 がある 。	▁絵 の左 下 には 「 明 兆 筆 」 の 署名 がある 。	▁絵 の左 下 には 「 明 兆 筆 」 の 署名 がある 。	▁ 絵 の左 下 には 「 明 兆 筆 」 の 署名 がある 。	▁絵 の左 下 には 「 明 兆 筆 」 の 署名 がある 。	▁絵の左下 には 「 明 兆 筆 」 の 署名 がある 。
767	-かい,-から,-ため,-とし,-まで	1941年1月27日からコロラドは真珠湾を母港とし、ハワイの訓練水域で6月25日まで艦隊演習を行い、その後オーバーホールのためピュージェット・サウンド海軍工廠へ向かい、1942年3月31日まで補修を受けた。	▁1941 年 1 月 ▁27 日から コロ ラ ド は 真珠湾 を 母 港 とする 、 ハ ワイ の 訓練 水 域 で 6 月 ▁25 日まで 艦隊 演 習 を行う 、 その後 オーバー ホール のため ピュー ジェット ・ サウンド 海軍 工 廠 へ向かう 、19 42 年 3 月 ▁31 日まで 補 修 を受けるた 。	▁1941 年 1 月 ▁27 日から コロラ ドは 真珠湾 を母 港 とする 、 ハワイ の訓練 水域 で 6 月 ▁25 日まで 艦隊 演習 を行う 、 その後 オーバー ホール のため ピュー ジェット ・ サウンド 海軍 工 廠 へ向かう 、19 42 年 3 月 ▁31 日まで 補 修 を受けるた 。	▁1941 年 1 月 ▁27 日から コロラドは 真珠湾 を母 港 とする 、 ハワイ の訓練 水域 で 6 月 ▁25 日まで艦隊演習 を行う 、 その後 オーバー ホール のため ピュー ジェット ・ サウンド 海軍 工 廠 へ向かう 、19 42 年 3 月 ▁31 日まで 補 修 を受けるた 。	▁1941 年 1 月 ▁27 日から コロ ラ ド は 真珠湾 を 母 港 とし 、 ハ ワイ の 訓練 水 域 で 6 月 ▁25 日まで 艦隊 演 習 を行い 、 その後 オーバー ホール のため ピュー ジェット ・ サウンド 海軍 工 廠 へ向 かい 、19 42 年 3 月 ▁31 日まで 補 修 を受けた 。	▁1941 年 1 月 ▁27 日から コロラ ドは 真珠湾 を母 港 とし 、 ハワイ の訓練 水域 で 6 月 ▁25 日まで 艦隊 演習 を行い 、 その後 オーバー ホール のため ピュー ジェット ・ サウンド 海軍 工 廠 へ向 かい 、19 42 年 3 月 ▁31 日まで 補 修 を受けた 。	▁1941 年 1 月 ▁27 日から コロラドは 真珠湾 を母 港 とし 、 ハワイの訓練水域 で 6 月 ▁25 日まで艦隊演習 を行い 、 その後 オーバー ホール のため ピュー ジェット ・ サウンド 海軍 工 廠 へ向 かい 、19 42 年 3 月 ▁31 日まで 補 修 を受けた 。
768	-って,-によって	現在はインド政府によって整理され遺跡公園になっている。	▁現在は インド 政府 によって 整理 するれる 遺跡 公園 になるている 。	▁現在は インド 政府によって 整理 するれる 遺跡 公園 になるている 。	▁現在は インド 政府によって整理 するれる 遺跡 公園 になるている 。	▁現在は インド 政府 によって 整理 され 遺跡 公園 になっている 。	▁現在は インド 政府によって 整理 され 遺跡 公園 になっている 。	▁現在は インド 政府によって 整理 され 遺跡 公園 になっている 。
772	-ている,-では,-ない,-まで	旧村では一般家庭に相当する口径13ミリの場合、20立方メートルまでは1364円で、超過1立方メートルごとに84円を加算しているが、同課は「ほぼ差はない状態」と説明する。	▁旧 村 では 一般 家庭 に相当する 口 径 13 ミリ の場合 、20 立 方 メートル までは 13 64 円で 、 超 過 1 立 方 メートル ごとに 84 円 を加 算 するているが 、 同 課 は 「 ほぼ 差 はない 状態 」 と説明 する 。	▁旧 村では 一般 家庭 に相当する 口径 13 ミリ の場合 、20 立方メートル までは 13 64 円で 、 超過 1 立方メートル ごとに 84 円 を加 算 するているが 、 同 課 は 「 ほぼ 差 はない 状態 」 と説明 する 。	▁旧村では一般 家庭 に相当する 口径 13 ミリ の場合 、20 立方メートル までは 13 64 円で 、 超過 1 立方メートル ごとに 84 円を加算 するているが 、 同 課 は 「 ほぼ 差 はない 状態 」 と説明 する 。	▁旧 村 では 一般 家庭 に相当する 口径 13 ミリ の場合 、20 立 方 メートル までは 13 64 円で 、 超 過 1 立 方 メートル ごとに 84 円 を加 算 しているが 、 同 課 は 「 ほぼ 差 はない 状態 」 と説明 する 。	▁旧 村では 一般 家庭 に相当する 口径 13 ミリ の場合 、20 立方メートル までは 13 64 円で 、 超過 1 立方メートル ごとに 84 円 を加 算 しているが 、 同 課 は 「 ほぼ 差 はない 状態 」 と説明 する 。	▁旧村では一般 家庭 に相当する 口径 13 ミリの場合 、20 立方メートル までは 13 64 円で 、 超過 1 立方メートル ごとに 84 円 を加 算 しているが 、 同 課 は 「 ほぼ 差 はない 状態 」 と説明 する 。
774	-ずにいます,-れます	「田中商店」をまだ知らずにいますが、とんこつの代名詞と思われます。	▁「 田中 商店 」 を まだ 知るない ているますが 、 とん こ つの 代名詞 と思うれる ます 。	▁「 田中 商店 」 を まだ知るない ているますが 、 とんこ つの 代名詞 と思うれるます 。	▁「 田中 商店 」 をまだ知るない ているますが 、 とんこ つの 代名詞 と思うれるます 。	▁「 田中 商店 」 を まだ 知らず に います が 、 とん こ つの 代名詞 と思われます 。	▁「 田中 商店 」 を まだ 知らず に います が 、 とんこ つの 代名詞 と思われます 。	▁「 田中 商店 」 を まだ 知らず に います が 、 とんこ つの 代名詞 と思われます 。
775	-けど,-って,-よう,-よかっ	天井の高い会場もよかったけど、アットホームな木目の会場にしようと思っています!	▁天 井 の高い 会 場 もよい た けど 、 アットホームだ 木 目の 会 場 にする うと思うているます !	▁天井 の高い 会場 もよい た けど 、 アットホームだ 木 目の 会場 にする うと思うているます !	▁天井の高い会場 もよい た けど 、 アットホームだ 木 目の会場にする うと思うているます !	▁天 井 の高い 会 場 もよ かった けど 、 アットホームな 木 目の 会 場に しよう と思っています !	▁天井 の高い 会 場 もよ かった けど 、 アットホームな 木 目の 会 場に しよう と思っています !	▁天井の高い会場 もよ かった けど 、 アットホームな 木 目の 会 場に しよう と思っています !
776	-だけに	プロジェクトに在籍するメンバーが新垣里沙だけになった。	▁ プロジェクト に在籍 する メンバー が新 垣 里 沙 だけ になるた 。	▁ プロジェクト に在籍する メンバー が新 垣 里 沙 だけ になるた 。	▁ プロジェクト に在籍する メンバー が新 垣 里 沙 だけ になるた 。	▁ プロジェクト に在籍 する メンバー が新 垣 里 沙 だけ になった 。	▁ プロジェクト に在籍 する メンバー が新 垣 里 沙 だけ になった 。	▁ プロジェクト に在籍 する メンバー が新 垣 里 沙 だけ になった 。
777	-ことができ,-って,-なく	しかし病にかかって赴任することができず、程なくして死去した。	▁しかし 病 にか か るて 赴 任 することが できるない 、 程 ない するて 死去するた 。	▁しかし 病 にかか るて 赴任 することが できるない 、 程 ないするて 死去するた 。	▁しかし 病 にかか るて 赴任 することが できるない 、 程 ないするて 死去するた 。	▁しかし 病 にか かって 赴 任 することが できず 、 程 なく して 死去した 。	▁しかし 病 にか かって 赴 任 することが できず 、 程 なくして 死去した 。	▁しかし 病 にか かって 赴 任 することが できず 、 程なくして 死去した 。
778	-ないと,-なり,-割に	コストパフォーマンス的に割に合わないというケースになりやすい。	▁コ スト パフォーマン ス 的だ 割 に 合うない という ケース になる やすい 。	▁コ スト パフォーマンス 的だ 割 に合うない という ケース になる やすい 。	▁コ スト パフォーマンス 的だ 割に合うない という ケース になる やすい 。	▁コ スト パフォーマン ス 的に 割 に合 わない という ケース になり やすい 。	▁コ スト パフォーマンス 的に 割 に合わない という ケース になり やすい 。	▁コ スト パフォーマンス 的に 割 に合わないという ケース になり やすい 。
780	-では	東映時代劇では、片岡千恵蔵や市川右太衛門とも共演して貫禄を示した。	▁東 映 時代 劇 では 、 片 岡 千 恵 蔵 や 市 川 右 太 衛 門 とも 共演 するて 貫 禄 を示すた 。	▁東 映 時代劇 では 、 片岡 千 恵 蔵 や 市川 右 太 衛門 とも 共演 するて 貫 禄 を示すた 。	▁東映時代劇では 、 片岡千恵蔵や 市川 右 太 衛門 とも 共演 するて 貫 禄 を示すた 。	▁東 映 時代 劇 では 、 片 岡 千 恵 蔵 や 市 川 右 太 衛 門 とも 共演 して 貫 禄 を示した 。	▁東 映 時代劇 では 、 片岡 千 恵 蔵 や 市川 右 太 衛門 とも 共演 して 貫 禄 を示した 。	▁東映時代劇では 、 片岡千 恵 蔵 や 市川 右 太 衛門 とも 共演 して 貫 禄 を示した 。
781	-から	景公は馬車の速度が遅いと、御者から手綱を奪い取り自ら御を執った。	▁ 景 公は 馬 車の 速 度が 遅 いと 、 御 者 から 手 綱 を奪 い取る 自ら 御 を執 るた 。	▁景 公は 馬 車の 速 度が 遅 いと 、 御 者 から 手 綱 を奪い取る 自ら 御 を執 るた 。	▁景公は馬車の 速 度が 遅 いと 、 御 者 から 手綱を奪い取る 自ら御を執るた 。	▁ 景 公は 馬 車の 速 度が 遅 いと 、 御 者 から 手 綱 を奪 い取り 自ら 御 を執 った 。	▁景 公は 馬 車の 速 度が 遅 いと 、 御 者 から 手 綱 を奪い取り 自ら 御 を執 った 。	▁景公は馬車の 速 度が 遅 いと 、 御 者 から 手綱を奪い取り 自ら 御 を執 った 。
